time,x,y,vx,vy,speed,theta,omega,mass,fuel,thrust,throttle,dynamic_pressure,altitude,downrange
52.83999999999806,35.61092304267545,5132.627172414963,-3.4409219394325605,217.5595443152262,217.58675342594304,1.4646061971866677,-1.4955038996051484,7726.287774114326,6726.287774114326,150000.0,1.0,15853.577240099361,5132.627172414963,35.61092304267545
52.899999999998045,35.41063266543733,5145.693823880543,-3.180113247148903,217.9861221215529,218.0093175941278,1.3780467972100654,-1.3772822355903545,7723.228625475394,6723.228625475394,150000.0,1.0,15890.76696821084,5145.693823880543,35.41063266543733
52.95999999999803,35.236553529367754,5158.783768683982,-2.5596228342046112,218.32606906416368,218.3410728700932,1.3007393130241367,-1.1888503235624661,7720.169476836463,6720.169476836463,150000.0,1.0,15914.63993397784,5158.783768683982,35.236553529367754
53.01999999999802,35.11088405323303,5171.890200937929,-1.571098566486269,218.5296593377241,218.53530689791836,1.23654500505646,-0.9424975226696086,7717.110328197532,6717.110328197532,150000.0,1.0,15918.403488256617,5171.890200937929,35.11088405323303
53.07999999999801,35.054254526789066,5185.00425469647,-0.2724241205166057,218.58112086272914,218.58129062778553,1.1884983280031693,-0.6532523422726831,7714.051179558601,6714.051179558601,150000.0,1.0,15900.552444618887,5185.00425469647,35.054254526789066
53.139999999998,35.082360373753076,5198.117423221226,1.2339511076537661,218.50819271431538,218.51167684728537,1.1586853365126493,-0.3374817112638828,7710.99203091967,6710.99203091967,150000.0,1.0,15865.930371042166,5198.117423221226,35.082360373753076
53.199999999997985,35.204022543068604,5211.223999163817,2.8249733928946408,218.3738619797466,218.39213371964655,1.14819921774959,-0.011756896833428468,7707.932882280738,6707.932882280738,150000.0,1.0,15824.156406958962,5211.223999163817,35.204022543068604
53.25999999999797,35.42053821343902,5224.322635044941,4.375400613583409,218.2566959729588,218.30054848204554,1.1571523369032943,0.30789181505379215,7704.873733641807,6704.873733641807,150000.0,1.0,15786.541041994611,5224.322635044941,35.42053821343902
53.31999999999796,35.72644006878655,5237.416442500917,5.801137940301413,218.2187072100275,218.29580247411565,1.1848251203053906,0.6128195395757978,7701.814585002876,6701.814585002876,150000.0,1.0,15761.556061341167,5237.416442500917,35.72644006878655
53.37999999999795,36.1136757629359,5250.5109563094775,7.074699218605601,218.28448966626007,218.39910667833175,1.2304163368628915,0.9033766250356046,7698.755436363945,6698.755436363945,150000.0,1.0,15752.191843369068,5250.5109563094775,36.1136757629359
53.43999999999794,36.57105713937816,5263.612908323278,8.12820074270342,218.46727646984286,218.61843137179545,1.2926892889520465,1.165979778980921,7695.6962877250135,6695.6962877250135,150000.0,1.0,15759.535055074106,5263.612908323278,36.57105713937816
53.499999999997925,37.08251872801577,5276.729680653441,8.864180349426162,218.7783050254635,218.95780516593123,1.3691585783012,1.3715137972054405,7692.637139086082,6692.637139086082,150000.0,1.0,15784.125801420205,5276.729680653441,37.08251872801577
53.55999999999791,37.62858844943047,5289.868137926284,9.293810274928703,219.18096413080514,219.37791581363803,1.4557971537097825,1.5034746154227707,7689.577990447151,6689.577990447151,150000.0,1.0,15820.281049601466,5289.868137926284,37.62858844943047
53.6199999999979,38.19364309753129,5303.032218425981,9.51778926072588,219.6256846052696,219.83182128787666,1.5479612072140712,1.5548599995803714,7686.51884180822,6686.51884180822,150000.0,1.0,15861.23134755178,5303.032218425981,38.19364309753129
53.67999999999789,38.76781325476589,5316.223526313735,9.586481131523083,220.0853875416702,220.29407261624678,1.6407107874445144,1.5229502532729897,7683.459693169289,6683.459693169289,150000.0,1.0,15903.306085239652,5316.223526313735,38.76781325476589
53.73999999999788,39.33849885446886,5329.442142281144,9.380876129844129,220.5279868584027,220.72741973933216,1.7290967286624255,1.4102974799224088,7680.400544530357,6680.400544530357,150000.0,1.0,15941.125542642305,5329.442142281144,39.33849885446886
53.799999999997866,39.886137115712174,5342.685407144254,8.808817712452926,220.89682222531158,221.07238936314985,1.8084869813509536,1.224817342249265,7677.341395891426,6677.341395891426,150000.0,1.0,15966.097424628499,5342.685407144254,39.886137115712174
53.859999999997854,40.38783064069044,5355.947193390799,7.852892335456517,221.1384072085773,221.27779613142124,1.8748621759346358,0.9788044392790192,7674.282247252495,6674.282247252495,150000.0,1.0,15970.843304857935,5355.947193390799,40.38783064069044
53.91999999999784,40.82184970351467,5369.219003305753,6.56690830271869,221.23090803686873,221.3283509979546,1.9250369682117576,0.6875127463728362,7671.223098613564,6671.223098613564,150000.0,1.0,15953.213153038747,5369.219003305753,40.82184970351467
53.97999999999783,41.17131135628355,5382.492339448524,5.0542878801831925,221.19656588353723,221.25430297430555,1.956792813633418,0.36768403617636086,7668.1639499746325,6668.1639499746325,150000.0,1.0,15917.66431735952,5382.492339448524,41.17131135628355
54.03999999999782,41.42638023056053,5395.7612366436015,3.442567973525934,221.09511148628422,221.1219111652773,1.9689291019241348,0.03633886329778177,7665.104801335701,6665.104801335701,150000.0,1.0,15873.821600924646,5395.7612366436015,41.42638023056053
54.099999999997806,41.58507290252273,5409.023969885317,1.86317419500735,221.0043134529443,221.01216704717456,1.9612537666800602,-0.2900247504642952,7662.04565269677,6662.04565269677,150000.0,1.0,15833.344574180108,5409.023969885317,41.58507290252273
54.159999999997794,41.652946604345196,5422.283403863113,0.4268129664675334,220.9936255626176,220.99403772187787,1.934515879440434,-0.5980846127910685,7658.986504057839,6658.986504057839,150000.0,1.0,15806.071445482707,5422.283403863113,41.652946604345196
54.21999999999778,41.63967367334727,5435.5453706258695,-0.8301932532717256,221.0933120274627,221.09487068702148,1.8898240163583477,-0.8868312795531067,7655.927355418908,6655.927355418908,150000.0,1.0,15795.83401864389,5435.5453706258695,41.63967367334727
54.27999999999777,41.55790264330439,5448.816980423516,-1.854742197819234,221.31230576113117,221.32007760239193,1.8286588845721348,-1.1464172986255163,7652.868206779976,6652.868206779976,150000.0,1.0,15803.33557302192,5448.816980423516,41.55790264330439
54.33999999999776,41.422438441200846,5462.104913701873,-2.6054800301364094,221.63707729305648,221.65239127335335,1.7531229277626923,-1.360670822082124,7649.809058141045,6649.809058141045,150000.0,1.0,15826.068819063963,5462.104913701873,41.422438441200846
54.399999999997746,41.25168178086815,5475.415220857455,-3.0393350961355945,222.0503085801518,222.07110820268187,1.6668467935197178,-1.5021935935127089,7646.749909502114,6646.749909502114,150000.0,1.0,15861.061819478919,5475.415220857455,41.25168178086815
54.459999999997734,41.06219775395646,5488.751747487973,-3.2507073444608623,222.50430413093258,222.5280486928106,1.5744845920903763,-1.5626134985229787,7643.690760863183,6643.690760863183,150000.0,1.0,15901.432430772162,5488.751747487973,41.06219775395646
54.51999999999772,40.86441319902409,5502.116000483804,-3.3094300975941526,222.971162656539,222.99572126832308,1.4810241091572838,-1.5386688247007438,7640.6316122242515,6640.6316122242515,150000.0,1.0,15943.253918905624,5502.116000483804,40.86441319902409
54.57999999999771,40.67039863490005,5515.507897790976,-3.1032700962852005,223.417529763147,223.43908093875874,1.391494647075762,-1.4323970082260022,7637.57246358532,6637.57246358532,150000.0,1.0,15981.51463716413,5515.507897790976,40.67039863490005
54.6399999999977,40.49934396204884,5528.924509242433,-2.5335851537859218,223.78423820177983,223.7985798017548,1.3106347618782275,-1.2513655387868925,7634.513314946389,6634.513314946389,150000.0,1.0,16007.695534665909,5528.924509242433,40.49934396204884
54.69999999999769,40.37415594405812,5542.35925254985,-1.5770446146266865,224.01440933770766,224.0199604067427,1.2425849456115365,-1.007731627524782,7631.454166307458,6631.454166307458,150000.0,1.0,16014.049539158093,5542.35925254985,40.37415594405812
54.759999999997675,40.316873711496555,5555.802985772595,-0.2834845926374652,224.08358092873894,224.08376024460352,1.190653771237205,-0.7168111667214021,7628.395017668527,6628.395017668527,150000.0,1.0,15997.849821034888,5555.802985772595,40.316873711496555
