time,vehicle_id,x,y,vx,vy,speed,theta,omega,mass,fuel,thrust,throttle,dynamic_pressure,altitude,downrange,gimbal
180.4099999999809,upper,19492.66045433965,69022.53474773894,365.9116119305531,753.6024888972115,837.7398277613925,1.217619096374936,-0.0016211253866663567,8393.83814794561,7193.838147945609,80000.0,1.0,127.85676657723447,69022.53474773894,19492.66045433965,-0.00038014688545829207
180.5199999999808,upper,19532.930629798906,69105.42693952832,366.27344541606584,753.528318611128,837.8312263014965,1.2174405284114131,-0.0016255583749220004,8391.259555223132,7191.259555223132,80000.0,1.0,126.64359395374704,69105.42693952832,19532.930629798906,-0.00037747642436445586
180.6299999999807,upper,19573.24062312003,69188.31098832311,366.63557315343627,753.4544344048949,837.9231636766874,1.2172614741709786,-0.0016299670222643177,8388.680962500655,7188.680962500655,80000.0,1.0,125.44221107519745,69188.31098832311,19573.24062312003,-0.0003748196325122285
180.7399999999806,upper,19613.590466703048,69271.18692557716,366.9979957302547,753.3808360070044,838.0156400286553,1.2170819362579,-0.0016343526478812963,8386.102369778178,7186.102369778178,80000.0,1.0,124.25250032084597,69271.18692557716,19613.590466703048,-0.00037217659557035524
180.8499999999805,upper,19653.980193012565,69354.05478271456,367.36071373269834,753.3075231485526,838.108655501424,1.2169019171354376,-0.0016387164962691789,8383.523777055701,7183.523777055701,80000.0,1.0,123.07434527717015,69354.05478271456,19653.980193012565,-0.0003695473978925345
180.9599999999804,upper,19694.40983457758,69436.91459113001,367.72372774565986,753.2344955631701,838.2022102413399,1.2167214191340756,-0.001643059737035079,8380.945184333224,7180.9451843332245,80000.0,1.0,121.90763072508709,69436.91459113001,19694.40983457758,-0.0003669321222287633
181.0699999999803,upper,19734.87942399135,69519.76638218896,368.0870383528667,753.1617529869573,838.2963043970618,1.2165404444597592,-0.0016473834649504576,8378.366591610747,7178.3665916107475,80000.0,1.0,120.75224262731905,69519.76638218896,19734.87942399135,-0.0003643308493927813
181.1799999999802,upper,19775.38899391131,69602.61018722804,368.45064613699253,753.0892951584229,838.390938119549,1.2163589952021128,-0.001651688700236409,8375.78799888827,7175.7879988882705,80000.0,1.0,119.60806811589207,69602.61018722804,19775.38899391131,-0.00036174365800089036
181.2899999999801,upper,19815.93857705892,69685.44603755519,368.8145516797604,753.0171218184239,838.4861115620495,1.2161770733426132,-0.0016559763890732122,8373.209406165794,7173.209406165794,80000.0,1.0,118.47499547977715,69685.44603755519,19815.93857705892,-0.0003591706242103354
181.39999999998,upper,19856.52820621959,69768.27396445005,369.17875556203836,752.94523271011,838.5818248800871,1.2159946807626993,-0.001660247404318229,8370.630813443317,7170.630813443317,80000.0,1.0,117.35291415266009,69768.27396445005,19856.52820621959,-0.00035661182146387783
181.5099999999799,upper,19897.157914242576,69851.09399916408,369.5432583639259,752.8736275788714,838.678078231449,1.2158118192517862,-0.0016645025464175488,8368.05222072084,7168.05222072084,80000.0,1.0,116.24171470085193,69851.09399916408,19897.157914242576,-0.00035406732027735185
181.6199999999798,upper,19937.827734040908,69933.9061729208,369.9080606648331,752.8023061722898,838.7748717761733,1.215628490515173,-0.0016687425445014513,8365.473627998363,7165.473627998363,80000.0,1.0,115.14128881132562,69933.9061729208,19937.827734040908,-0.00035153718801827073
181.7299999999797,upper,19978.537698591314,70016.71051691617,370.2731630435519,752.7312682400906,838.8722056765332,1.21544469618182,-0.0016729680576471305,8362.895035275886,7162.895035275886,80000.0,1.0,114.0515292798853,70016.71051691617,19978.537698591314,-0.0003490214887307069
181.8399999999796,upper,20019.28784093417,70099.50706231869,370.6385660783197,752.6605135341,838.9700800970247,1.2152604378119767,-0.0016771796763000182,8360.316442553409,7160.316442553409,80000.0,1.0,112.97232999946443,70099.50706231869,20019.28784093417,-0.0003465202829331829
181.9499999999795,upper,20060.078194173413,70182.29584026974,371.0042703468746,752.5900418082052,839.0684952043504,1.2150757169046469,-0.0016813779238340123,8357.737849830932,7157.737849830932,80000.0,1.0,111.90358594855175,70182.29584026974,20060.078194173413,-0.00034403362752353085
182.0599999999794,upper,20100.908791476515,70265.07688188364,371.3702764265047,752.5198528183153,839.167451167404,1.2148905349048766,-0.0016855632582491393,8355.159257108455,7155.159257108455,80000.0,1.0,110.84519317974384,70265.07688188364,20100.908791476515,-0.0003415615755773735
